lens_x,lens_y,lens_z,cone_x,cone_y,cone_z,dx,dy,dz,hex_x,hex_y,p,q,side
69.35608675638557,303.3638339622008,-212.58963753180495,53.75992493075243,293.9040353150392,-194.48285482296313,0.6068115350252336,0.3680594624684657,-0.7044941398249838,83.09887524414307,-239.65931695830056,-15.0,-10.0,left
-79.95283033665717,377.9195550057335,-155.7333780224937,-74.8124087895344,360.04241980313407,-141.0702029610034,-0.21702400967235044,0.7547566921421975,-0.6190661635821357,-125.90348479389618,-201.02268206356564,-6.0,-14.0,left
88.656156952682,285.85706276683857,-212.02802304793778,71.04060689517297,279.06045756206123,-194.4033225809997,0.6820095894206303,0.26313966410537304,-0.6823638597645796,114.94614089239613,-237.12750110316983,-16.0,-9.0,left
-30.254617559984975,366.3743105068635,-178.89153126161193,-32.420126486186874,348.6706466219413,-163.48056027946862,0.09187049518620384,0.7510679582238199,-0.6538017545431825,-66.12676138028613,-219.01460506898508,-9.0,-13.0,left
39.71857389417488,329.7779823335864,-203.09348328734887,27.82132580804933,316.73955372764294,-185.91382565349926,0.48301944420473525,0.529350526521371,-0.6974813521462033,33.33089196016846,-232.48082286440973,-13.0,-11.0,left
105.93833416974917,264.9544104305909,-209.88317353643112,86.84447725503759,261.3638136708804,-192.65750500395356,0.7353634754962527,0.13828498475297,-0.6634137637236228,147.26875088238336,-232.50662253197046,-17.0,-8.0,left
119.92600127943858,242.1786858912739,-205.24308131361076,99.1744587948869,241.6774445350219,-188.7582943081738,0.7828675424705213,0.018909707027596326,-0.6219009840210071,176.51341091716913,-224.8014358271249,-18.0,-7.0,left
-92.35740864149446,380.45833390668236,-146.60298129262108,-85.25741055912323,362.681747901649,-132.2874157286438,-0.2970340271301972,0.7436975149066366,-0.5989029913504441,-140.08543495077112,-191.6436026732687,-5.0,-14.0,left
6.168238055568806,351.25183513220423,-191.4833377475978,-0.7945288223843192,335.31766228682784,-175.1500887804005,0.29185513356893894,0.6679054786141291,-0.6846333709706883,-16.994476680946697,-225.81333340292596,-11.0,-12.0,left
-104.89765124094856,381.7452518194905,-137.35645672258957,-95.99658565607365,364.1209984273764,-123.55875390862938,-0.36952659386794906,0.7316686146566677,-0.5728098591598653,-154.45594006439225,-181.95144847833853,-4.0,-14.0,left
-41.8276812632069,372.9866025388793,-169.52797582746217,-42.548293532064534,355.03789405314023,-154.9579168346266,0.031155890576481795,0.7760178694394865,-0.6299409311935419,-81.14258041076977,-210.05533860859128,-8.0,-13.0,left
61.519402831046676,315.89700503096225,-204.5669065916751,46.81930665815731,304.446467134017,-187.1305652242551,0.5760388317588304,0.4487014503572531,-0.6832614966125484,65.97101307438241,-231.21759602632653,-14.0,-10.0,left
-118.13910393673373,381.63205334066265,-128.6329430913196,-106.73142168495987,363.9760386586937,-115.10791173488052,-0.4563815797041297,0.7063555675898419,-0.541089332588987,-169.6345849713949,-172.6847845384583,-3.0,-14.0,left
-129.69027293272615,379.812232263481,-119.93339373097527,-116.80740322196218,363.49787638504716,-107.36864963142064,-0.5303796518900789,0.6716517814648831,-0.5172826203498505,-184.09707855937646,-163.1765677207705,-2.0,-14.0,left
-4.36047130148567,359.89828229974944,-182.4271039004734,-10.079636955955714,342.86583537786714,-166.94189465479332,0.24111873461979622,0.7180841223008176,-0.6528529306932861,-32.63613998187597,-217.56778052766606,-10.0,-12.0,left
30.439124355629055,340.69453307852734,-193.98016396941955,20.116774387106197,326.1285080307684,-177.83383560417033,0.4288252717158761,0.6051218635265224,-0.6707729993224189,16.494956997592446,-223.8456571943189,-12.0,-11.0,left
82.08039275342836,299.43208772223136,-204.3308566810279,64.74663269084465,290.4756207797482,-187.3251947992984,0.6697265136512114,0.34605206016261514,-0.6570497458867202,99.1676138513563,-228.4564875964976,-15.0,-9.0,left
-139.5676352664311,380.4376671499614,-109.27383836822767,-126.08218099736843,364.52284270632896,-97.79558056987787,-0.5663910315904476,0.6684249306224056,-0.4820884892385845,-195.91927589942256,-149.89211786372783,-1.0,-14.0,left
-53.4830887388556,378.4891840846632,-160.16787761608387,-52.407129886455195,359.96887047751625,-146.1597088480923,-0.04628525019138532,0.7967008654813419,-0.6025988769953042,-95.75108378675273,-201.0793804174481,-7.0,-13.0,left
100.61850082519742,280.14149821591144,-203.18584637660283,81.61737277056076,274.0342308469445,-186.56166322213448,0.7315136007458242,0.23512020607114922,-0.6400049535909385,131.1908047991451,-224.70043971162204,-16.0,-8.0,left
116.0117867224366,257.9026645380576,-200.4867060355972,95.54521276804628,255.01917040048215,-184.06289800353986,0.7752619956638618,0.10922509182843712,-0.6221243584640903,162.25933826541,-218.78977933950029,-17.0,-7.0,left
127.63450043634613,235.74482010273272,-193.60278459217818,106.54198570319367,235.46408240682143,-178.97074664191845,0.8216043794028206,0.01093541113244467,-0.5699532090702449,189.087796891575,-206.44221856359857,-18.0,-6.0,left
53.23771888028129,327.58175761363395,-195.7622930357827,39.66745099867745,314.7439722184343,-179.52896613198595,0.5483297689554523,0.5187325674824884,-0.655935200999524,50.17582715451752,-222.16722932551525,-13.0,-10.0,left
-15.57414203151212,367.9988434651313,-173.06705100329032,-19.73098545933712,349.8018938874038,-158.4873161297208,0.17550566636071113,0.7682915695100779,-0.6155695129674827,-48.48498814691205,-208.90438124960357,-9.0,-12.0,left
-65.24434441602786,383.1099800782122,-150.92845583522092,-62.39786758758585,364.2617348793802,-137.37298960283522,-0.12169438710992414,0.805812162126357,-0.5795319106961978,-110.00875193047622,-191.94572221114316,-6.0,-13.0,left
20.480946675335638,350.80782471600094,-184.86514930373679,11.412130889644665,334.73791459682707,-169.34858491654472,0.3761572143428613,0.6665492792020622,-0.6435975516524515,0.28003778273435387,-215.3260232036793,-11.0,-11.0,left
-77.51118867822763,386.97577460190547,-141.8489082388666,-73.00390025006055,367.93355488955,-128.75493048321175,-0.19143172372041564,0.8087534226163268,-0.5561221058003428,-124.39580682552644,-182.58968832275684,-5.0,-13.0,left
74.60892505467828,312.63985576849495,-196.40418376418006,58.12192694943188,301.46557393480225,-180.19133691190902,0.6419782756262595,0.4351092986826463,-0.6313032487036876,82.10498558727375,-220.18639381063548,-14.0,-9.0,left
-27.044038199597892,375.39277062923827,-163.66319857135574,-29.673048597319557,356.64113576030456,-149.95364466642326,0.11246107677609977,0.8021379643458553,-0.5864530606667918,-63.969793326315184,-199.99893910972628,-8.0,-12.0,left
-89.92735777996047,389.6939886955894,-132.78156317239524,-83.5978404653541,370.62354291131874,-120.1995074695759,-0.26698202797172255,0.8044004047607213,-0.5307170484927861,-138.80626579166525,-173.19300775097201,-4.0,-13.0,left
94.28678360071825,294.24474668224605,-195.83253370626636,75.59511826307278,286.04695746803384,-179.78237472832143,0.7198747465566007,0.3157226135982608,-0.6181420391243045,115.30592989790249,-216.73725218706826,-15.0,-8.0,left
-102.96126360873816,390.8009411311382,-123.64041287556662,-94.47874912110227,372.22820283477495,-112.13280739338575,-0.36191790449121514,0.7924308923587721,-0.4909874858325492,-153.83138403721372,-163.72393888808506,-3.0,-13.0,left
125.1586014053725,249.4455243377777,-190.42686121144305,102.98127717186554,248.08208716491737,-174.88093776644158,0.8178179944753933,0.05027853868038573,-0.5732763700523601,177.95159578413296,-202.84419216477227,-17.0,-6.0,left
44.29063216619889,338.8592126122452,-186.69853396836425,31.92267465865885,324.47282254934436,-171.32661292070125,0.5065133221523359,0.5891755546618627,-0.6295366711090709,33.63387789772658,-213.27421007037296,-12.0,-10.0,left
-115.43770164433235,390.8588271926968,-114.82818044846599,-105.17091250135866,372.4239936052386,-103.83004361898205,-0.4314656583195208,0.7747307847718851,-0.46220081871156576,-168.4748442764284,-154.88137556360138,-2.0,-13.0,left
-141.1919550024262,387.10840859176255,-96.90245283499439,-126.74112153549183,369.902984257482,-86.85305854537297,-0.5871007774512337,0.6990128303774169,-0.40828144714633974,-200.73822055942784,-135.16281814309306,0.0,-13.0,left
111.65082349942097,273.149278282679,-193.97036322185443,91.23317210580251,268.06051629751175,-178.43793428942797,0.7806699605297385,0.19456907856441333,-0.5938832262264121,147.26172601793036,-211.2151906391043,-16.0,-7.0,left
9.884962156998002,360.16380822923765,-175.6313172509616,2.307745611908447,342.753892735288,-160.99827053850208,0.3160892474356378,0.7262676279150151,-0.6104284727126261,-15.910574894018886,-206.8556437393062,-10.0,-11.0,left
-151.69942247212987,384.5802696119012,-87.08830943520529,-136.8547881051657,368.55170819011016,-78.13813556767495,-0.6287708889791652,0.6789182249355592,-0.3791005315515921,-214.95746139402763,-123.46671388126549,1.0,-13.0,left
