p,q,column_id,p_mapped,q_mapped,x,y,z,dx,dy,dz,side
-13,2,144,-14.09372850953147,1.3876028016920492,159.27716064453125,-228.27960205078125,-101.63920593261719,0.964387498789667,0.06609846569637123,-0.25610104453280896,right
-12,-15,790,-13.24552791860054,-16.66100039197853,-40.8583984375,-334.080078125,-232.4981689453125,0.02450255537804058,-0.2892971837814783,-0.9569256837581754,right
-12,-14,13,-13.232190354756591,-15.595688222060515,-25.604736328125,-338.423828125,-230.81564331054688,0.10424365662134263,-0.3471495373985641,-0.9319981001794878,right
-12,-13,266,-13.21885279091264,-14.530376052142504,-10.27685546875,-341.08544921875,-227.59768676757812,0.1875898562850546,-0.3900318000242635,-0.9014905661119175,right
-12,-12,286,-13.205515227068688,-13.465063882224491,5.008544921875,-342.2705078125,-223.0421142578125,0.27234274897895044,-0.419871450615506,-0.8657582757540463,right
-12,-11,537,-13.192177663224738,-12.399751712306482,20.134521484375,-342.1279296875,-217.33050537109375,0.356757556388844,-0.4382627936826298,-0.8250150117621846,right
-12,-10,697,-13.178840099380787,-11.33443954238847,35.005859375,-340.7977294921875,-210.61911010742188,0.4388971646645083,-0.44629386027436574,-0.7798660584554635,right
-12,-9,373,-13.165502535536838,-10.26912737247046,49.519287109375,-338.3690185546875,-203.052978515625,0.5171138499364589,-0.44508907512035467,-0.7310875333449482,right
-12,-8,362,-13.152164971692887,-9.203815202552448,63.586669921875,-334.91473388671875,-194.75860595703125,0.5900849868809603,-0.43555200645545905,-0.6797750789270821,right
-12,-7,269,-13.138827407848936,-8.138503032634437,77.11740112304688,-330.48187255859375,-185.85272216796875,0.6569581815765346,-0.4186581268106081,-0.6270018504877682,right
-12,-6,423,-13.125489844004987,-7.073190862716426,90.02114868164062,-325.09681701660156,-176.4388427734375,0.7172503954831333,-0.3951834225444581,-0.5739180540158474,right
-12,-5,379,-13.112152280161038,-6.007878692798415,102.20694732666016,-318.76332092285156,-166.61044311523438,0.7708773801351044,-0.3658190554812291,-0.5214637891962002,right
-12,-4,669,-13.098814716317086,-4.942566522880404,113.58043670654297,-311.47528076171875,-156.4564208984375,0.8180125177394776,-0.33102052432405615,-0.4704050736309586,right
-12,-3,174,-13.085477152473134,-3.877254352962392,124.04012298583984,-303.2080383300781,-146.0580291748047,0.8589152059542499,-0.2910939769133467,-0.42134186308191635,right
-12,-2,577,-13.072139588629184,-2.811942183044382,133.47830200195312,-293.9315185546875,-135.49505615234375,0.8938715120357041,-0.24616097777228305,-0.37469786894669904,right
-12,-1,563,-13.058802024785235,-1.7466300131263715,141.77774047851562,-283.607421875,-124.84489440917969,0.9230570721921078,-0.1962551399159587,-0.33083162111971925,right
-12,0,3,-13.045464460941284,-0.681317843208358,148.8088836669922,-272.19195556640625,-114.18557739257812,0.946518575979325,-0.14140894116563324,-0.29001051133447786,right
-12,1,57,-13.032126897097331,0.3839943267096538,154.4290313720703,-259.6414794921875,-103.59820556640625,0.964123292449398,-0.0817683669575787,-0.2525474433084277,right
-12,2,182,-13.018789333253384,1.4493064966276645,158.48008728027344,-245.91323852539062,-93.16815185546875,0.975607500347744,-0.017737623830142265,-0.2188044377202779,right
-12,3,297,-13.005451769409433,2.514618666545674,160.78692626953125,-230.96978759765625,-82.98714447021484,0.9806645367571206,0.049910221783553414,-0.1892248295241887,right
-11,-16,789,-12.183926306166402,-17.66460886696093,-65.21484375,-336.68701171875,-223.495849609375,-0.1078394105026808,-0.27381977769524074,-0.9557161664873955,right
-11,-15,354,-12.170588742322451,-16.599296697042913,-50.044677734375,-343.890625,-223.32281494140625,-0.029595365791883634,-0.35516255144666375,-0.9343359547687013,right
-11,-14,657,-12.1572511784785,-15.533984527124902,-34.6630859375,-349.0107421875,-221.408203125,0.05387136348960847,-0.4172772612161073,-0.9071811084164809,right
-11,-13,633,-12.143913614634549,-14.468672357206888,-19.205078125,-352.316162109375,-217.98196411132812,0.14075517524343809,-0.46342171032378343,-0.8748875922327213,right
-11,-12,585,-12.1305760507906,-13.403360187288877,-3.79345703125,-354.015869140625,-213.24346923828125,0.22920376417675148,-0.49582884549499223,-0.837627238371766,right
-11,-11,395,-12.11723848694665,-12.338048017370868,11.4698486328125,-354.302734375,-207.376953125,0.31735118957822994,-0.5159743100592934,-0.7956498814378838,right
-11,-10,333,-12.1039009231027,-11.272735847452855,26.480712890625,-353.31884765625,-200.54165649414062,0.40328142924840127,-0.5251373311171945,-0.7493963385889184,right
-11,-9,294,-12.09056335925875,-10.207423677534846,41.15155029296875,-351.1859130859375,-192.88441467285156,0.4852234485289283,-0.5244470578191913,-0.6996524055146871,right
-11,-8,89,-12.0772257954148,-9.142111507616834,55.39434814453125,-347.9857177734375,-184.53224182128906,0.561837314085711,-0.5149447753673122,-0.6474339432118636,right
-11,-7,598,-12.06388823157085,-8.076799337698825,69.12753295898438,-343.7869873046875,-175.60098266601562,0.6321267306628375,-0.49772957124928446,-0.5938695734633286,right
-11,-6,241,-12.050550667726895,-7.011487167780813,82.27311706542969,-338.6285858154297,-166.19268798828125,0.6956064624313013,-0.47378929777129614,-0.5400512482544528,right
-11,-5,441,-12.037213103882944,-5.9461749978628,94.75040435791016,-332.52812576293945,-156.40237426757812,0.752203593804932,-0.44395664985691863,-0.48692119127715766,right
-11,-4,152,-12.023875540038997,-4.88086282794479,106.47704315185547,-325.4913330078125,-146.31349182128906,0.802105911981804,-0.4088487047251133,-0.4352801886238744,right
-11,-3,161,-12.010537976195048,-3.8155506580267784,117.36793518066406,-317.5054626464844,-136.00634765625,0.8456846725334978,-0.36886891230339597,-0.38568531237009834,right
-11,-2,233,-11.997200412351095,-2.7502384881087667,127.33036804199219,-308.5487976074219,-125.55647277832031,0.8833283428295483,-0.3242030300178854,-0.3385608277418197,right
-11,-1,454,-11.983862848507144,-1.6849263181907561,136.26490783691406,-298.590576171875,-115.037353515625,0.915360663875411,-0.2748766268162508,-0.29420689159108193,right
-11,0,511,-11.970525284663193,-0.6196141482727453,144.06143188476562,-287.5948791503906,-104.52224731445312,0.9419567112779959,-0.2208404442500957,-0.2528775440045295,right
-11,1,557,-11.957187720819245,0.44569802164526734,150.5986328125,-275.52252197265625,-94.08650970458984,0.9631090633068714,-0.16206912252889233,-0.214836057725131,right
-11,2,521,-11.943850156975294,1.5110101915632763,155.74083709716797,-262.335205078125,-83.80921173095703,0.9786279523190451,-0.09869711759004242,-0.18040568150490746,right
-11,3,500,-11.930512593131343,2.576322361481291,159.33698272705078,-247.99771118164062,-73.77523422241211,0.9881940692679972,-0.031150694289778184,-0.15000705219696045,right
-11,4,455,-11.917175029287392,3.6416345313993017,161.21781158447266,-232.48045349121094,-64.07719039916992,0.9914666447412062,0.0397301515991345,-0.12415879920297586,right
-11,5,793,-11.903837465443445,4.706946701317312,161.194580078125,-215.76312255859375,-54.8173770904541,0.9882350042867508,0.11262967958430162,-0.1034704381893834,right
-10,-16,612,-11.108987129888316,-17.602905172025316,-75.164794921875,-344.35595703125,-214.341552734375,-0.17170608555568848,-0.32200723808971515,-0.9310361748079266,right
-10,-15,650,-11.095649566044363,-16.537593002107304,-59.901611328125,-352.5712890625,-213.93096923828125,-0.09013492790010937,-0.41002668873507647,-0.9076088415707456,right
-10,-14,709,-11.08231200220041,-15.472280832189288,-44.4130859375,-358.53955078125,-211.7855224609375,-0.003345937830219464,-0.47751919050841435,-0.8786149483113892,right
-10,-13,580,-11.068974438356463,-14.406968662271277,-28.8427734375,-362.53173828125,-208.14724731445312,0.08681185619128644,-0.5280089817983201,-0.8447900430076841,right
-10,-12,52,-11.055636874512512,-13.341656492353264,-13.31103515625,-364.80029296875,-203.21766662597656,0.1786649366449956,-0.563760779902111,-0.8063824300279634,right
-10,-11,243,-11.042299310668561,-12.276344322435254,2.075927734375,-365.544677734375,-197.18563842773438,0.2703174307241298,-0.5865068202996886,-0.763503920349237,right
-10,-10,197,-11.028961746824612,-11.211032152517243,17.217529296875,-364.93603515625,-190.21099853515625,0.3598860402363971,-0.5975034713222241,-0.7165693544946353,right
-10,-9,51,-11.015624182980659,-10.14571998259923,32.02728271484375,-363.11248779296875,-182.44284057617188,0.4455792427054064,-0.5979444092465959,-0.6662744343893258,right
-10,-8,296,-11.00228661913671,-9.08040781268122,46.4244384765625,-360.1768798828125,-174.009521484375,0.5258947738955901,-0.5889893329809737,-0.6136173501653404,right
-10,-7,624,-10.988949055292759,-8.015095642763209,60.33416748046875,-356.2120056152344,-165.02670288085938,0.5997898018290619,-0.571883462370734,-0.5596440825102289,right
-10,-6,212,-10.97561149144881,-6.9497834728452,73.68499755859375,-351.27247619628906,-155.59610748291016,0.6667004682871506,-0.5477585171137649,-0.5054414827801764,right
-10,-5,342,-10.962273927604858,-5.884471302927188,86.405517578125,-345.39094161987305,-145.81100463867188,0.7264938517256398,-0.5176232882737317,-0.45196550182677997,right
-10,-4,593,-10.94893636376091,-4.819159133009177,98.42597961425781,-338.5844955444336,-135.75479125976562,0.7793812720125292,-0.4822733863516887,-0.39997151605208936,right
-10,-3,544,-10.935598799916956,-3.753846963091164,109.67268371582031,-330.8529815673828,-125.50409698486328,0.8257752163122467,-0.4422444589273179,-0.3500216145790797,right
-10,-2,231,-10.922261236073009,-2.6885347931731545,120.06820678710938,-322.183837890625,-115.13166809082031,0.8661559583622521,-0.3978190304643079,-0.30251260270277414,right
